"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"156","Niger","Sovereign country","Niger","Niger","Niger","Niger","Niger","Niger","Republic of Niger","Niger"
"157","Australia","Dependency","Norfolk Island","Norfolk Island","Norfolk Island","Norfolk Island","Norfolk Island","Norfolk Island","Territory of Norfolk Island","Norfolk Island"
"158","Nigeria","Sovereign country","Nigeria","Nigeria","Nigeria","Nigeria","Nigeria","Nigeria","Federal Republic of Nigeria","Nigeria"
"159","Nicaragua","Sovereign country","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Republic of Nicaragua","Nicaragua"
"160","New Zealand","Dependency","Niue","Niue","Niue","Niue","Niue","Niue",NA,"Niue"
"161","Netherlands","Country","Netherlands","Netherlands","Netherlands","Netherlands","Netherlands","Netherlands","Kingdom of the Netherlands","Netherlands"
"162","Norway","Sovereign country","Norway","Norway","Norway","Norway","Norway","Norway","Kingdom of Norway","Norway"
"163","Nepal","Sovereign country","Nepal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepal"
"164","Nauru","Sovereign country","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Republic of Nauru","Nauru"
"165","New Zealand","Country","New Zealand","New Zealand","New Zealand","New Zealand","New Zealand","New Zealand","New Zealand","New Zealand"
"166","Oman","Sovereign country","Oman","Oman","Oman","Oman","Oman","Oman","Sultanate of Oman","Oman"
"167","Pakistan","Sovereign country","Pakistan","Pakistan","Pakistan","Pakistan","Pakistan","Pakistan","Islamic Republic of Pakistan","Pakistan"
"168","Panama","Sovereign country","Panama","Panama","Panama","Panama","Panama","Panama","Republic of Panama","Panama"
"169","United Kingdom","Dependency","Pitcairn Islands","Pitcairn Islands","Pitcairn Islands","Pitcairn Is.","Pitcairn Islands","Pitcairn Is.","Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn Islands"
"170","Peru","Sovereign country","Peru","Peru","Peru","Peru","Peru","Peru","Republic of Peru","Peru"
"171","Philippines","Sovereign country","Philippines","Philippines","Philippines","Philippines","Philippines","Philippines","Republic of the Philippines","Philippines"
"172","Palau","Sovereign country","Palau","Palau","Palau","Palau","Palau","Palau","Republic of Palau","Palau"
"173","Papua New Guinea","Sovereign country","Papua New Guinea","Papua New Guinea","Papua New Guinea","Papua New Guinea","Papua New Guinea","Papua New Guinea","Independent State of Papua New Guinea","Papua New Guinea"
"174","Poland","Sovereign country","Poland","Poland","Poland","Poland","Poland","Poland","Republic of Poland","Poland"
